nombre,direccion,email,web
Espacio Pata de Ganso,Zelaya 3122,info@patadeganso.com.ar,www.patadeganso.com.ar
El Cubo Cultural,Zelaya 3053,info@cuboabasto.com.ar,
Centro Argentino de Teatro Ciego,Zelaya 3006,INFO@TEATROCIEGO.COM,
Auditorio Belgrano,Virrey Loreto 2348,,
La Soderia Espacio Artistico Fabril,Vidal 2549,lasoderia@2vias.com.ar,
Entretelones,Vidal 1980,entretelonesteatro@hotmail.com,
Centro Cultural Borges- Fund.Para Artes,Viamonte Esq. San Martin,info@ccborges.org.ar,/www.ccborges.org.ar
Vera Vera Teatro,Vera 108,rubenzabadini@yahoo.com.ar,
Centro Cultural Caras Y Caretas,Venezuela 370,centrocultural@carasycaretas.org.ar,www.carasycaretas.org
Anfitrion,Venezuela 3340,teatroanfitrion@hotmail.com,www.anfitrionteatro.com.ar
Del Sur,Venezuela 2255,teasur@infovia.com.ar,www.teatrodelsur.blogspot.com
Galpon Ve,Velez Sarfield 218,galponve@hotmail.com,
Centro Cultural Ernesto Sabato,Uriburu 763,,www.econ.uba.ar
Uriarte Viejo,Uriarte 1616,mjulieta2000@yahoo.com.ar,
Casa Azul,Tucuman 844,acfbas@fibertel.com.ar,
Mediterranea Espacio de Arte,Tucuman 3378,,www.mediterraneateatro.com
Centro Cultural Fray Mocho,Tte. Gral. Juan D. Peron 3644,teatrofraymocho@infovia.com.ar,www.teatrofraymocho.com.ar
El Ojo,Tte. Gral. Juan D. Peron 2115,luisagustoni@fibertel.com.ar,
El Ombligo de La Luna,Tomas Manuel de Anchorena 364,info@elombligodelaluna.com.ar,
Fundacion Mitica,Thames 2078,fcrisanto@hotmail.com,
Sportivo Teatral,Thames 1426,sportivoteatral@hotmail.com,
El Sotano,Teodoro Garcia 3234,elsotanoteatro@yahoo.com.ar,http://elsotanoteatro.com/
El Buho,Tacuari 215,TESORERIA@TEATROELBUHO.COM.AR,www.teatroelbuho.com.ar
Damanthal Klinicke,Tacuari 1677,,
Bac - British Arts Centre,Suipacha 1333,,www.britishartscentre.org.ar
El Taller,Serrano 1595,joreuge@sinectis.com.ar,
La Voltereta,Segurola 2357,volarte@cvtci.com.ar,
Ciudad Cultural Konex,Sarmiento 3131,info@ciudadculturalkonex.org,www.ciudadculturalkonex.org
Centro Cultural General San Martin,Sarmiento 1551,,
Club El Progreso,Sarmiento 1334,,http://www.clubdelprogreso.com
Del Centro,Sarmiento 1249,,
Teatro del Centro,Sarmiento 1245/49,,
El Espion,Sarandi 766,elespion766@yahoo.com,www.teatro-el-espion.com.ar
